about,prefLabel,altLabel,broader,facetaAcronimo,faceta
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 4ª Câmara",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::4ª Câmara
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.1,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 4ª Câmara. 1ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::4ª Câmara::1ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.2,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 4ª Câmara. 2ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::4ª Câmara::2ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.3,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 4ª Câmara. 3ª Turma Ordinária",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::4ª Câmara::3ª Turma Ordinária
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.1,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 1ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::1ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.2,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 2ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::2ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.3,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 3ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::3ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.4,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 4ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::4ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.5,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 5ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::5ª Turma Especial
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.6,"Conselho Administrativo de Recursos Fiscais. 3ª Seção de Julgamento. 6ª Turma Especial",,#conselho.administrativo.recursos.fiscais;secao.julgamento.3,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::3ª Seção de Julgamento::6ª Turma Especial
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais",CSRF,#conselho.administrativo.recursos.fiscais,CSRF – Câmara Superior de Recursos Fiscais,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais;turma.1,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais. 1ª Turma",,#conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais::1ª Turma
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais;turma.2,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais. 2ª Turma",,#conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais::2ª Turma
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais;turma.3,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais. 3ª Turma",,#conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais::3ª Turma
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais;turma.4,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais. 4ª Turma",,#conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais::4ª Turma
conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais;pleno,"Conselho Administrativo de Recursos Fiscais. Câmara Superior de Recursos Fiscais. Pleno",,#conselho.administrativo.recursos.fiscais;camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselho Administrativo de Recursos Fiscais::Câmara Superior de Recursos Fiscais::Pleno
primeiro.conselho.contribuintes,"Primeiro Conselho de Contribuintes",,,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes
segundo.conselho.contribuintes,"Segundo Conselho de Contribuintes",,,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes
terceiro.conselho.contribuintes,"Terceiro Conselho de Contribuintes",,,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes
camara.superior.recursos.fiscais,"Câmara Superior de Recursos Fiscais",CSRF,,CSRF – Câmara Superior de Recursos Fiscais,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais
primeiro.conselho.contribuintes;camara.1,"Primeiro Conselho de Contribuintes. 1ª Câmara.",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::1ª Câmara.
primeiro.conselho.contribuintes;camara.1;turma.especial,"Primeiro Conselho de Contribuintes. 1ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::1ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.1;turma.ordinaria,"Primeiro Conselho de Contribuintes. 1ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::1ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.2,"Primeiro Conselho de Contribuintes. 2ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::2ª Câmara
primeiro.conselho.contribuintes;camara.3,"Primeiro Conselho de Contribuintes. 3ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::3ª Câmara
primeiro.conselho.contribuintes;camara.4,"Primeiro Conselho de Contribuintes. 4ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::4ª Câmara
primeiro.conselho.contribuintes;camara.5,"Primeiro Conselho de Contribuintes. 5ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::5ª Câmara
primeiro.conselho.contribuintes;camara.6,"Primeiro Conselho de Contribuintes. 6ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::6ª Câmara
primeiro.conselho.contribuintes;camara.7,"Primeiro Conselho de Contribuintes. 7ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::7ª Câmara
primeiro.conselho.contribuintes;camara.8,"Primeiro Conselho de Contribuintes. 8ª Câmara",,#primeiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::8ª Câmara
primeiro.conselho.contribuintes;camara.2;turma.ordinaria,"Primeiro Conselho de Contribuintes. 2ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::2ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.2;turma.especial,"Primeiro Conselho de Contribuintes. 2ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::2ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.3;turma.ordinaria,"Primeiro Conselho de Contribuintes. 3ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::3ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.3;turma.especial,"Primeiro Conselho de Contribuintes. 3ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::3ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.4;turma.ordinaria,"Primeiro Conselho de Contribuintes. 4ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::4ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.4;turma.especial,"Primeiro Conselho de Contribuintes. 4ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::4ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.5;turma.ordinaria,"Primeiro Conselho de Contribuintes. 5ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.5,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::5ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.5;turma.especial,"Primeiro Conselho de Contribuintes. 5ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.5,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::5ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.1,"Segundo Conselho de Contribuintes. 1ª Câmara. ",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::1ª Câmara::
segundo.conselho.contribuintes;camara.1;turma.especial,"Segundo Conselho de Contribuintes. 1ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::1ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.1;turma.ordinaria,"Segundo Conselho de Contribuintes. 1ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::1ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.2,"Segundo Conselho de Contribuintes. 2ª Câmara",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::2ª Câmara
segundo.conselho.contribuintes;camara.3,"Segundo Conselho de Contribuintes. 3ª Câmara",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::3ª Câmara
segundo.conselho.contribuintes;camara.4,"Segundo Conselho de Contribuintes. 4ª Câmara",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::4ª Câmara
segundo.conselho.contribuintes;camara.5,"Segundo Conselho de Contribuintes. 5ª Câmara",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::5ª Câmara
segundo.conselho.contribuintes;camara.6,"Segundo Conselho de Contribuintes. 6ª Câmara",,#segundo.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::6ª Câmara
segundo.conselho.contribuintes;camara.2;turma.ordinaria,"Segundo Conselho de Contribuintes. 2ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::2ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.2;turma.especial,"Segundo Conselho de Contribuintes. 2ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::2ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.3;turma.ordinaria,"Segundo Conselho de Contribuintes. 3ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::3ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.3;turma.especial,"Segundo Conselho de Contribuintes. 3ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::3ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.4;turma.ordinaria,"Segundo Conselho de Contribuintes. 4ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::4ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.4;turma.especial,"Segundo Conselho de Contribuintes. 4ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.4,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::4ª Câmara::Turma Especial
terceiro.conselho.contribuintes;camara.1,"Terceiro Conselho de Contribuintes. 1ª Câmara",,#terceiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::1ª Câmara
terceiro.conselho.contribuintes;camara.1;turma.especial,"Terceiro Conselho de Contribuintes. 1ª Câmara. Turma Especial",,#terceiro.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::1ª Câmara::Turma Especial
terceiro.conselho.contribuintes;camara.1;turma.ordinaria,"Terceiro Conselho de Contribuintes. 1ª Câmara. Turma Ordinária",,#terceiro.conselho.contribuintes;camara.1,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::1ª Câmara::Turma Ordinária
terceiro.conselho.contribuintes;camara.2,"Terceiro Conselho de Contribuintes. 2ª Câmara",,#terceiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::2ª Câmara
terceiro.conselho.contribuintes;camara.3,"Terceiro Conselho de Contribuintes. 3ª Câmara",,#terceiro.conselho.contribuintes,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::3ª Câmara
terceiro.conselho.contribuintes;camara.2;turma.ordinaria,"Terceiro Conselho de Contribuintes. 2ª Câmara. Turma Ordinária",,#terceiro.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::2ª Câmara::Turma Ordinária
terceiro.conselho.contribuintes;camara.2;turma.especial,"Terceiro Conselho de Contribuintes. 2ª Câmara. Turma Especial",,#terceiro.conselho.contribuintes;camara.2,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::2ª Câmara::Turma Especial
terceiro.conselho.contribuintes;camara.3;turma.ordinaria,"Terceiro Conselho de Contribuintes. 3ª Câmara. Turma Ordinaria",,#terceiro.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::3ª Câmara::Turma Ordinaria
camara.superior.recursos.fiscais;turma.1,"Câmara Superior de Recursos Fiscais. 1ª Turma",,#camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais::1ª Turma
camara.superior.recursos.fiscais;turma.2,"Câmara Superior de Recursos Fiscais. 2ª Turma",,#camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais::2ª Turma
camara.superior.recursos.fiscais;turma.3,"Câmara Superior de Recursos Fiscais. 3ª Turma",,#camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais::3ª Turma
camara.superior.recursos.fiscais;turma.4,"Câmara Superior de Recursos Fiscais. 4ª Turma",,#camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais::4ª Turma
camara.superior.recursos.fiscais;pleno,"Câmara Superior de Recursos Fiscais. Pleno",,#camara.superior.recursos.fiscais,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Câmara Superior de Recursos Fiscais::Pleno
primeiro.conselho.contribuintes;camara.6;turma.ordinaria,"Primeiro Conselho de Contribuintes. 6ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.6,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::6ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.6;turma.especial,"Primeiro Conselho de Contribuintes. 6ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.6,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::6ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.7;turma.ordinaria,"Primeiro Conselho de Contribuintes. 7ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.7,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::7ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.7;turma.especial,"Primeiro Conselho de Contribuintes. 7ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.7,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::7ª Câmara::Turma Especial
primeiro.conselho.contribuintes;camara.8;turma.ordinaria,"Primeiro Conselho de Contribuintes. 8ª Câmara. Turma Ordinária",,#primeiro.conselho.contribuintes;camara.8,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::8ª Câmara::Turma Ordinária
primeiro.conselho.contribuintes;camara.8;turma.especial,"Primeiro Conselho de Contribuintes. 8ª Câmara. Turma Especial",,#primeiro.conselho.contribuintes;camara.8,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Primeiro Conselho de Contribuintes::8ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.5;turma.ordinaria,"Segundo Conselho de Contribuintes. 5ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.5,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::5ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.5;turma.especial,"Segundo Conselho de Contribuintes. 5ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.5,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::5ª Câmara::Turma Especial
segundo.conselho.contribuintes;camara.6;turma.ordinaria,"Segundo Conselho de Contribuintes. 6ª Câmara. Turma Ordinária",,#segundo.conselho.contribuintes;camara.6,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::6ª Câmara::Turma Ordinária
segundo.conselho.contribuintes;camara.6;turma.especial,"Segundo Conselho de Contribuintes. 6ª Câmara. Turma Especial",,#segundo.conselho.contribuintes;camara.6,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Segundo Conselho de Contribuintes::6ª Câmara::Turma Especial
terceiro.conselho.contribuintes;camara.3;turma.especial,"Terceiro Conselho de Contribuintes. 3ª Câmara. Turma Especial",,#terceiro.conselho.contribuintes;camara.3,,Federal::Executivo::Ministério da Fazenda::Conselhos de Contribuintes::Terceiro Conselho de Contribuintes::3ª Câmara::Turma Especial
tribunal.justica.distrito.federal.territorios,"Tribunal de Justiça do Distrito Federal e dos Territórios",TJDFT,,TJDFT – Tribunal de Justiça do Distrito Federal e dos Territórios,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios
tribunal.justica.distrito.federal.territorios;conselho.especial,"Tribunal de Justiça do Distrito Federal e dos Territórios. Conselho Especial",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::Conselho Especial
tribunal.justica.distrito.federal.territorios;conselho.magistratura,"Tribunal de Justiça do Distrito Federal e dos Territórios. Conselho da Magistratura",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::Conselho da Magistratura
tribunal.justica.distrito.federal.territorios;camara.criminal,"Tribunal de Justiça do Distrito Federal e dos Territórios. Câmara Criminal",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::Câmara Criminal
tribunal.justica.distrito.federal.territorios;camara.civel.1,"Tribunal de Justiça do Distrito Federal e dos Territórios. 1ª Câmara Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::1ª Câmara Cível
tribunal.justica.distrito.federal.territorios;camara.civel.2,"Tribunal de Justiça do Distrito Federal e dos Territórios. 2ª Câmara Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::2ª Câmara Cível
tribunal.justica.distrito.federal.territorios;camara.civel.3,"Tribunal de Justiça do Distrito Federal e dos Territórios. 3ª Câmara Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::3ª Câmara Cível
tribunal.justica.distrito.federal.territorios;turma.criminal.1,"Tribunal de Justiça do Distrito Federal e dos Territórios. 1ª Turma Criminal",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::1ª Turma Criminal
tribunal.justica.distrito.federal.territorios;turma.criminal.2,"Tribunal de Justiça do Distrito Federal e dos Territórios. 2ª Turma Criminal",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::2ª Turma Criminal
tribunal.justica.distrito.federal.territorios;turma.civel.1,"Tribunal de Justiça do Distrito Federal e dos Territórios. 1ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::1ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.civel.2,"Tribunal de Justiça do Distrito Federal e dos Territórios. 2ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::2ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.civel.3,"Tribunal de Justiça do Distrito Federal e dos Territórios. 3ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::3ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.civel.4,"Tribunal de Justiça do Distrito Federal e dos Territórios. 4ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::4ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.civel.5,"Tribunal de Justiça do Distrito Federal e dos Territórios. 5ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::5ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.civel.6,"Tribunal de Justiça do Distrito Federal e dos Territórios. 6ª Turma Cível",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::6ª Turma Cível
tribunal.justica.distrito.federal.territorios;turma.recursal.juizados.especiais.civeis.criminais.df.1,"Tribunal de Justiça do Distrito Federal e dos Territórios. 1ª Turma Recursal dos Juizados Especiais Cíveis e Criminais do DF",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::1ª Turma Recursal dos Juizados Especiais Cíveis e Criminais do DF
tribunal.justica.distrito.federal.territorios;turma.recursal.juizados.especiais.civeis.criminais.df.2,"Tribunal de Justiça do Distrito Federal e dos Territórios. 2ª Turma Recursal dos Juizados Especiais Cíveis e Criminais do DF",,#tribunal.justica.distrito.federal.territorios,,Distrital::Tribunal de Justiça do Distrito Federal e dos Territórios::2ª Turma Recursal dos Juizados Especiais Cíveis e Criminais do DF
advocacia.geral.uniao;consultoria.geral.uniao;nucleo.assessoramento.juridico.al,"Advocacia-Geral da União. Consultoria-Geral da União. Núcleo de Assessoramento Jurídico/AL",NAJ-AL,#advocacia.geral.uniao;consultoria.geral.uniao,NAJ-AL – Núcleo de Assessoramento Jurídico/AL,Federal::Advocacia-Geral da União::Consultoria-Geral da União::Núcleo de Assessoramento Jurídico/AL
tribunal.regional.trabalho;secao.especializada.1,"Tribunal Regional do Trabalho. Seção Especializada I",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Seção Especializada I
tribunal.regional.trabalho;secao.especializada.2,"Tribunal Regional do Trabalho. Seção Especializada II",,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Seção Especializada II
ministerio.fazenda;secretaria.receita.federal.brasil,"Ministério da Fazenda. Secretaria da Receita Federal do Brasil",RFB,#ministerio.fazenda,RFB – Secretaria da Receita Federal do Brasil,Federal::Executivo::Ministério da Fazenda::Secretaria da Receita Federal do Brasil
