about,prefLabel,altLabel,broader,facetaAcronimo,faceta
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;diretoria.judiciaria,tribunal.regional.trabalho;presidencia","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Diretoria Judiciária; Tribunal Regional do Trabalho. Presidencia",,,,
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidência",,,,
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.corregedoria.regional","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. Vice-Corregedoria Regional",,,,
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;diretoria.judiciaria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Diretoria Judiciária; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidencia",,,,
tribunal.regional.trabalho;diretoria.judiciaria,"Tribunal Regional do Trabalho. Diretoria Judiciária",DJ,#tribunal.regional.trabalho,DJ – Diretoria Judiciária,Tribunal Regional do Trabalho::Diretoria Judiciária
"tribunal.regional.trabalho;diretoria.geral,tribunal.regional.trabalho;diretoria.judiciaria","Tribunal Regional do Trabalho. Diretoria-Geral; Tribunal Regional do Trabalho. Diretoria Judiciária",,,,
"tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.corregedoria,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. Vice-Corregedoria; Tribunal Regional do Trabalho. 1ª Vice-Presidência",,,,
"tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidência",,,,
"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. 1ª Vice-Presidência",,,,
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.extintos.territorios.empregados.publicos.militares,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares",CGEXT,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,"CGEXT – Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares"
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.procedimentos.judiciais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Procedimentos Judiciais",CGPJU,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,CGPJU – Coordenação-Geral de Procedimentos Judiciais,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Procedimentos Judiciais"
ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.politicas.saude.previdencia.beneficios.servidor,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Políticas de Saúde, Previdência e Benefícios do Servidor",DESAP,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica,"DESAP – Departamento de Políticas de Saúde, Previdência e Benefícios do Servidor","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Políticas de Saúde, Previdência e Benefícios do Servidor"
