id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
70,parecer,Parecer,pt-BR,,,,Outras Manifestações::Parecer
71,peticao.inicial,"Petição Inicial",pt-BR,,,,Outras Manifestações::Petição Inicial
73,parecer;adi,ADI,pt-BR,"Ação Direta de Inconstitucionalidade",#parecer,ADI – Ação Direta de Inconstitucionalidade,Outras Manifestações::Parecer
74,parecer;adc,ADC,pt-BR,"Ação Declaratória de Constitucionalidade",#parecer,ADC – Ação Declaratória de Constitucionalidade,Outras Manifestações::Parecer
75,parecer;adpf,ADPF,pt-BR,"Arguição de Descumprimento de Preceito Fundamental",#parecer,ADPF – Arguição de Descumprimento de Preceito Fundamental,Outras Manifestações::Parecer
76,peticao.inicial;adi,ADI,pt-BR,"Ação Direta de Inconstitucionalidade",#peticao.inicial,ADI – Ação Direta de Inconstitucionalidade,Outras Manifestações::Petição&#160;Inicial
77,peticao.inicial;adc,ADC,pt-BR,"Ação Declaratória de Constitucionalidade",#peticao.inicial,ADC – Ação Declaratória de Constitucionalidade,Outras Manifestações::Petição&#160;Inicial
78,peticao.inicial;adpf,ADPF,pt-BR,"Arguição de Descumprimento de Preceito Fundamental",#peticao.inicial,ADPF – Arguição de Descumprimento de Preceito Fundamental,Outras Manifestações::Petição&#160;Inicial
79,publicacao.oficial;jornal.primeira.pagina,"Jornal Primeira Página",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal Primeira Página
80,publicacao.oficial;jornal.folha,"Jornal A Folha",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal A Folha
81,publicacao.oficial;jornal.diario,"Jornal O Diário",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal O Diário
82,publicacao.oficial;jornal.tribuna,"Jornal A Tribuna",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal A Tribuna
83,publicacao.oficial;jornal.correio.sao.carlos,"Jornal Correio de São Carlos",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal Correio de São Carlos
84,publicacao.oficial;jornal.cidade,"Jornal A Cidade",pt-BR,,#publicacao.oficial,,Publicação Oficial::Jornal A Cidade
85,publicacao.oficial;diario.oficial.municipio,"Diário Oficial do Município",pt-BR,,#publicacao.oficial,,Publicação Oficial::Diário Oficial do Município
86,instrucao.normativa.conjunta,"Instrução Normativa Conjunta",pt-BR,,,,Legislação::Instrução Normativa Conjunta
87,portaria.conjunta,"Portaria Conjunta",pt-BR,,,,Legislação::Portaria Conjunta
88,provimento,Provimento,pt-BR,,,,Legislação::Provimento
89,decisao,Decisão,pt-BR,,,,Legislação::Decisão
90,publicacao.oficial;diario.justica.eletronico,"Diário da Justiça Eletrônico",pt-BR,DJE,#publicacao.oficial,DJE – Diário da Justiça Eletrônico,Publicação Oficial::Diário da Justiça Eletrônico
91,processo,Processo,pt-BR,,,,Processo
